	x
402	YLL012W
403	YHR037W
404	YOR285W
405	YMR088C
406	YLR297W
407	YLL023C
408	YFR053C
409	YMR077C
410	YBL033C
411	YKL171W
412	YIL111W
413	YGR244C
414	YER033C
415	YHR113W
416	YHR016C
417	YOR035C
418	YNL234W
419	YIL119C
420	YPR158W
421	YKL148C
422	YBL029W
423	YMR155W
424	YBR295W
425	YOR292C
426	YKL202W
427	YOR226C
428	YNL036W
429	YPL006W
430	YBR126C
431	YOR178C
432	YAL060W
433	YGR146C
434	YGL141W
435	YJL016W
436	YLL026W
437	YDR421W
438	YBR235W
439	YDR406W
440	YFL014W
441	YOR027W
442	YPL026C
443	YJL172W
444	YIL066C
445	YDR342C
446	YLR254C
447	YJL161W
448	YIR007W
449	YDR202C
450	YML100W
451	YNL063W
452	YER162C
453	YDR516C
454	YBR001C
455	YER143W
456	YGR174C
457	YDL113C
458	YDR036C
459	YLR177W
460	YKR058W
461	YGR110W
462	YAL030W
463	YOL048C
464	YDL020C
465	YGL087C
466	YJL082W
467	YOL019W
468	YDL200C
469	YDR369C
470	YBR066C
471	YAL028W
472	YMR133W
473	YJR036C
474	YMR271C
475	YLR023C
476	YIR037W
477	YJL185C
478	YDL048C
479	YDR148C
480	YBR108W
481	YLL019C
482	YNL183C
483	YHR102W
484	YOR230W
485	YKL103C
486	YCR011C
487	YHR008C
488	YPL150W
489	YKL197C
490	YIL024C
491	YMR280C
492	YKL218C
493	YLL039C
494	YFL033C
495	YDL234C
496	YIL168W
497	YGR023W
498	YIR017C
499	YER044C
500	YPL024W
501	YBR287W
502	YMR304W
503	YEL020C
504	YML042W
505	YDR481C
506	YOL136C
507	YHR104W
508	YAL063C
509	YOL016C
510	YFR014C
511	YJL149W
512	YHL008C
513	YFR029W
514	YDR104C
515	YIR018W
516	YNR014W
517	YJR019C
518	YNL037C
519	YOR005C
520	YPL107W
521	YFL044C
522	YOR245C
523	YGL053W
524	YKR046C
525	YNL237W
526	YDR255C
527	YDR096W
528	YOR058C
529	YER061C
530	YDR074W
531	YLR219W
532	YNL156C
533	YKL142W
534	YJR078W
535	YGR055W
536	YER169W
537	YJL141C
538	YNL208W
539	YGR180C
540	YGL208W
541	YPR006C
542	YNL125C
543	YGL205W
544	YBL029C-A
545	YGL006W
546	YPL250C
547	YBR149W
548	YPL277C
549	YOL032W
550	YMR160W
551	YOR186W
552	YNL144C
553	YDL138W
554	YPL057C
555	YMR135C
556	YAL017W
557	YHR028C
558	YGL104C
559	YLR056W
560	YKL187C
561	YPR035W
562	YHR087W
563	YOR152C
564	YNL013C
565	YER101C
566	YIL135C
567	YMR086W
568	YGR258C
569	YNR001C
570	YDR003W
571	YLR054C
572	YBR285W
573	YJL116C
574	YOR137C
575	YKR066C
576	YDL023C
577	YJL070C
578	YGR223C
579	YDL171C
580	YPL202C
581	YAL005C
582	YMR139W
583	YDR330W
584	YGR130C
585	YOR052C
586	YHR140W
587	YLR273C
588	YCL049C
589	YNR047W
590	YNL241C
591	YDR391C
592	YKR055W
593	YBR212W
594	YPR172W
595	YLR284C
596	YNR034W
597	YMR206W
598	YJL042W
599	YDL243C
600	YMR302C
601	YNL007C
602	YNL092W
603	YHL047C
604	YDL022W
605	YCL035C
606	YOR020W-A
607	YGR236C
608	YOL025W
609	YHR056C
610	YOL060C
611	YGR255C
612	YJR149W
613	YOR316C
614	YKL193C
615	YOL138C
616	YKR021W
617	YBR225W
618	YDR287W
619	YMR255W
620	YMR284W
621	YDR345C
622	YGR239C
623	YLR225C
624	YIL156W
625	YMR140W
626	YGL209W
627	YBR053C
628	YBR085C-A
629	YLR109W
630	YNL314W
631	YBL093C
632	YEL024W
633	YCR018C
634	YMR030W
635	YNL101W
636	YOR363C
637	YHR139C
638	YGR028W
639	YJR039W
640	YJL052W
641	YNL173C
642	YBL095W
643	YJR051W
644	YDR122W
645	YLR118C
646	YCL026C-B
647	YCR069W
648	YIR039C
649	YDR505C
650	YDR254W
651	YPL070W
652	YDL025C
653	YBL015W
654	YDL027C
655	YEL030W
656	YPR193C
657	YMR195W
658	YNL040W
659	YER103W
660	YDR032C
661	YPR065W
662	YIL113W
663	YIR017W-A
664	YER010C
665	YGL091C
666	YBR062C
667	YNL239W
668	YPR127W
669	YDR270W
