	x
401	YAL023C
402	YHR169W
403	YIL091C
404	YLR073C
405	YDL084W
406	YNL247W
407	YOR361C
408	YIL052C
409	YGR118W
410	YDR120C
411	YPL012W
412	YBR143C
413	YKR024C
414	YDL150W
415	YDL136W
416	YKL205W
417	YOR234C
418	YDR385W
419	YJR002W
420	YJR063W
421	YGL070C
422	YOR253W
423	YDR172W
424	YBR142W
425	YJR070C
426	YOL124C
427	YMR229C
428	YLR287C
429	YKR079C
430	YOR212W
431	YIL103W
432	YLR344W
433	YPL199C
434	YOR073W
435	YIL145C
436	YNL119W
437	YGR285C
438	YLR075W
439	YMR309C
440	YCL059C
441	YHR018C
442	YGR145W
443	YKL181W
444	YOR198C
445	YMR260C
446	YLR276C
447	YGL148W
448	YGL039W
449	YIL131C
450	YMR131C
451	YAL007C
452	YNL044W
453	YCL064C
454	YDR339C
455	YJL010C
456	YHR020W
457	YHR143W
458	YKR090W
459	YHR064C
460	YGL202W
461	YJL125C
462	YKL164C
463	YBL032W
464	YLR044C
465	YBR291C
466	YAL036C
467	YOL041C
468	YBR252W
469	YNL022C
470	YKL083W
471	YDR021W
472	YLL034C
473	YHR043C
474	YBR154C
475	YDL040C
476	YLR452C
477	YDR309C
478	YJL050W
479	YOR133W
480	YGL117W
481	YGL089C
482	YML080W
483	YNL110C
484	YIL020C
485	YGR078C
486	YJL145W
487	YHR144C
488	YGL116W
489	YER118C
490	YHR172W
491	YMR217W
492	YBR038W
493	YOL080C
494	YPL226W
495	YHR063W-A
496	YGR264C
497	YPL255W
498	YDR234W
499	YCL063W
500	YLR185W
501	YGL068W
502	YER070W
503	YPL037C
504	YPL143W
505	YDR037W
506	YDL131W
507	YOR246C
508	YBR087W
509	YGR280C
510	YOR305W
511	YHR049W
512	YBL054W
513	YDL205C
514	YMR235C
515	YJL069C
516	YHR183W
517	YJL198W
518	YMR270C
519	YFR009W
520	YDR127W
521	YDR280W
522	YBR175W
523	YLL018C
524	YCR045C
525	YPR175W
526	YMR177W
527	YJL056C
528	YKL057C
529	YGL016W
530	YPL160W
531	YMR194W
532	YDR023W
533	YBR271W
534	YCR065W
535	YLR065C
536	YMR308C
537	YER026C
538	YMR259C
539	YGR208W
540	YGL257C
541	YNR015W
542	YDL225W
543	YLR076C
544	YOR254C
545	YDL219W
546	YOR101W
547	YDR133C
548	YLR412W
549	YER090W
550	YBR177C
551	YBR187W
552	YCR023C
553	YLR172C
554	YGR074W
555	YIL064W
556	YHR142W
557	YJL109C
558	YIL021W
559	YKL184W
560	YHR081W
561	YMR269W
562	YDL112W
563	YGL195W
564	YEL055C
565	YPR060C
566	YBL028C
567	YOR021C
568	YBR088C
569	YML106W
570	YLL035W
571	YHR170W
572	YDR514C
573	YBR220C
574	YLR355C
575	YJR147W
576	YPL198W
577	YOL011W
578	YNL207W
579	YNL313C
580	YHR123W
581	YPR033C
582	YBL004W
583	YMR146C
584	YOR091W
585	YPL183C
586	YIL123W
587	YLR130C
588	YPL142C
589	YHL003C
590	YMR303C
591	YLR291C
592	YDL116W
593	YKR042W
594	YMR128W
595	YLR049C
596	YGL012W
597	YLR022C
598	YNL298W
599	YDR429C
600	YNL067W
601	YJL208C
602	YPR183W
603	YML096W
604	YGR169C
605	YMR079W
606	YDR465C
607	YBR096W
608	YLR285W
609	YNL255C
610	YIL104C
611	YDL121C
612	YEL026W
613	YOR046C
614	YBR130C
615	YNL153C
616	YOR359W
617	YBR068C
618	YKL056C
619	YGR083C
620	YJR004C
621	YBL031W
622	YBR246W
623	YFL037W
624	YDL192W
625	YNL001W
626	YBR017C
627	YDL050C
628	YJR003C
629	YPR043W
630	YGL008C
631	YOR074C
632	YKL101W
633	YMR321C
634	YDR395W
635	YKL127W
636	YNR017W
637	YOL103W
638	YDR451C
639	YHR025W
640	YGR216C
641	YJR048W
642	YIL008W
643	YLR243W
644	YPL256C
645	YLL044W
646	YGL155W
647	YJL091C
648	YBR243C
649	YPR044C
650	YOL125W
651	YOR232W
652	YNL002C
653	YLR068W
654	YOL029C
655	YER025W
656	YOL058W
657	YMR318C
658	YBR164C
659	YML119W
660	YOR294W
661	YGR081C
662	YNL078W
663	YGR172C
664	YMR239C
665	YCR043C
666	YKL212W
667	YJR105W
668	YDR035W
669	YDL157C
670	YJL133W
671	YJR016C
672	YDR404C
673	YOR168W
674	YJL061W
675	YHR133C
676	YPR118W
677	YPL197C
678	YOL092W
679	YBL072C
680	YHL001W
681	YPL043W
682	YNL154C
683	YHR204W
684	YNR046W
685	YLR397C
686	YLR342W
687	YDL202W
688	YML023C
689	YML085C
690	YMR203W
691	YDR190C
692	YGR119C
693	YMR310C
694	YCR090C
695	YJL124C
696	YJL194W
697	YPL126W
698	YCL025C
699	YJR132W
700	YNL289W
701	YLR110C
702	YPL235W
703	YKL172W
704	YER107C
705	YGL092W
706	YEL048C
707	YHR152W
708	YKL144C
709	YPL050C
710	YEL022W
711	YDL198C
712	YKL183W
713	YOR202W
714	YMR209C
715	YNL113W
716	YPR080W
717	YDL127W
718	YGL256W
719	YPL237W
720	YHR085W
721	YPL212C
722	YFR006W
723	YFR036W-A
724	YJL025W
725	YOR188W
726	YGL200C
727	YJL011C
728	YJR054W
729	YPR016C
730	YDR361C
731	YML113W
732	YML074C
733	YOR169C
734	YPL249C-A
735	YNR024W
736	YDR509W
737	YGL077C
738	YNR055C
739	YMR144W
740	YML060W
